rooms,area1,area2,area3,district,floor,total_floors,building_type,year,additional_info,price
2,45.0,31.5,6.0,пос. Селекционной станции,1,3,кирпич,,undefind,3690000
1,31.0,17.0,9.0,Новинский сельсовет,3,3,блок+утеплитель,,undefind,3500000
3,84.3,38.8,22.2,дер. Анкудиновка,22,25,монолитный железобетон,2024,undefind,8261400
3,62.6,45.0,7.5,Автозаводский район,3,9,панель,1979,undefind,8000000
4,58.2,43.0,5.8,Сормовский район,9,9,панель,1977,undefind,7500000
2,42.6,28.0,6.0,Советский район,1,5,кирпич,1966,хрущ.,4850000
2,52.7,29.0,10.0,с. Работки,3,5,панель,,брежн.,1950000
2,44.0,21.97,14.35,Новинский сельсовет,1,9,блок+утеплитель,2023,undefind,4740000
2,42.7,26.6,5.9,г. Дзержинск,2,2,кирпич,,undefind,3400000
1,34.8,8.7,13.0,дер. Анкудиновка,5,20,панель,2017,undefind,5046000
2,57.8,13.3,11.4,дер. Анкудиновка,24,25,панель,2024,undefind,7976400
2,56.8,36.7,9.2,Нижегородский район,1,2,кирпич,1822,стар. фонд,9900000
2,46.0,37.9,5.2,Московский район,4,9,кирпич,1975,undefind,4599000
3,60.5,42.9,6.0,Канавинский район,2,5,кирпич,1970,хрущ.,5800000
3,56.1,42.0,5.9,Нижегородский район,3,5,кирпич,1964,хрущ.,6900000
1,37.3,13.8,12.3,дер. Анкудиновка,14,19,панель,2027,undefind,5408500
2,62.1,26.4,23.4,Автозаводский район,3,8,монолитный железобетон,2026,undefind,10013377
1,33.0,17.5,6.5,Сормовский район,3,5,панель,1972,брежн.,3250000
2,57.4,22.9,12.9,дер. Анкудиновка,10,19,панель,2027,undefind,7493226
3,84.4,56.2,8.0,Московский район,2,3,шлакоблок,1950,стал.,6900000
3,51.8,35.1,5.8,Нижегородский район,3,5,кирпич,1976,хрущ.,5450000
1,41.6,20.0,20.3,рп. Ковернино,1,1,кирпич,2023,undefind,3525885
3,83.0,44.5,20.46,дер. Афонино,10,12,монолитный железобетон,2024,undefind,8900007
3,63.3,38.2,9.4,Нижегородский район,1,9,панель,1983,undefind,7250000
1,41.0,19.1,8.8,Сормовский район,10,10,кирпич,2014,undefind,6150000
2,38.6,27.2,5.0,Автозаводский район,3,3,шлакоблок,1959,народн. стр.,4200000
3,60.0,39.0,7.0,Сормовский район,7,9,панель,1984,undefind,7250000
2,43.1,30.6,6.0,Ленинский район,5,5,кирпич,1963,хрущ.,5200000
1,39.4,12.0,17.6,Нижегородский район,13,24,блок+утеплитель,2023,undefind,8900000
1,30.6,16.5,5.7,Советский район,4,5,кирпич,1967,хрущ.,6000000
3,56.3,33.0,9.0,Нижегородский район,4,4,кирпич,,стар. фонд,8120000
2,44.7,28.0,6.1,г. Балахна,1,5,панель,1975,undefind,2900000
2,43.3,29.6,5.6,пос. Дружный,3,5,панель,1993,undefind,3250000
2,38.2,27.0,5.0,Советский район,1,2,кирпич,1964,народн. стр.,3470000
1,32.9,13.1,11.4,Сормовский район,4,9,кирпич,1982,undefind,3800000
4,72.0,45.6,6.8,Автозаводский район,6,9,кирпич,1975,undefind,7480000
1,24.7,15.0,6.1,дер. Анкудиновка,22,25,монолитный железобетон,2025,undefind,3952000
2,39.8,25.6,5.2,Московский район,9,9,кирпич,1972,undefind,4100000
1,30.0,12.9,6.8,Автозаводский район,4,9,кирпич,1984,undefind,4099999
3,62.8,43.4,7.0,Новинский сельсовет,4,5,панель,,хрущ.,3500000
2,50.2,29.2,9.1,Канавинский район,3,9,панель,1983,undefind,6790000
3,65.4,37.1,9.3,Канавинский район,7,9,панель,1987,undefind,9699999
1,40.7,20.0,14.0,Нижегородский район,6,10,кирпич,2003,undefind,7200000
2,62.4,22.2,16.2,дер. Анкудиновка,6,23,панель,2020,undefind,7850000
1,47.0,14.1,22.0,Автозаводский район,6,8,монолитный железобетон,2026,undefind,7939005
1,37.5,18.7,10.8,Ленинский район,6,14,панель,2024,undefind,7200000
4,72.0,45.6,6.8,Автозаводский район,6,9,кирпич,1975,undefind,7480000
2,55.7,26.9,12.5,Автозаводский район,3,8,монолитный железобетон,2026,undefind,9159030
1,18.6,12.0,2.0,дер. Анкудиновка,1,19,панель,2017,undefind,3150000
1,35.7,20.7,9.3,Нижегородский район,4,4,кирпич,1917,стал.,7700000
1,34.2,11.1,13.3,дер. Анкудиновка,5,25,монолитный железобетон,2026,undefind,4343400
4,94.0,50.0,19.9,дер. Анкудиновка,10,19,панель,2027,undefind,9661414
3,62.6,45.0,7.5,Автозаводский район,3,9,панель,1979,undefind,8000000
2,38.2,27.0,5.0,Советский район,1,2,кирпич,1964,народн. стр.,3470000
К,20.0,14.0,1.0,Ленинский район,2,2,кирпич,1952,народн. стр.,2050000
3,100.7,65.8,13.7,г. Бор,4,6,кирпич,2005,undefind,9000000
1,35.0,17.9,8.5,Приокский район,5,10,кирпич,2009,undefind,5500000
2,47.7,20.5,12.1,дер. Анкудиновка,20,25,панель,2025,undefind,6630014
3,77.6,49.3,14.0,Московский район,5,5,кирпич,1958,стал.,7000000
3,82.0,37.0,21.0,дер. Анкудиновка,14,25,монолитный железобетон,2024,undefind,9322498
2,43.0,35.0,6.1,Канавинский район,1,5,кирпич,1967,хрущ.,4500000
2,45.5,28.0,7.0,Канавинский район,9,9,панель,1978,undefind,6500000
1,39.0,13.5,11.7,дер. Анкудиновка,9,25,монолитный железобетон,2026,undefind,4602000
3,60.5,42.9,6.0,Канавинский район,2,5,кирпич,1970,хрущ.,5800000
1,33.3,17.1,8.3,Канавинский район,9,9,панель,1983,undefind,5350000
1,39.3,13.3,13.9,дер. Анкудиновка,25,25,монолитный железобетон,2024,undefind,4912500
2,54.0,34.0,7.8,Нижегородский район,8,9,кирпич,1977,undefind,9450000
